***Starting server on port 54627 ***
Loading net-file from 'scenario/lust/lust.net.xml' ... done (963ms).
Loading additional-files from 'scenario/lust/vtypes.add.xml' ... done (5ms).
Loading additional-files from 'scenario/lust/busstops.add.xml' ... done (10ms).
Loading additional-files from 'scenario/lust/e1detectors.add.xml' ... done (95ms).
Loading additional-files from 'scenario/lust/lust.poly.xml' ... done (387ms).
Loading additional-files from 'scenario/lust/tll.static.xml' ... done (16ms).
Loading done.
Simulation version 1.4.0 started with time: 0.00
Warning: Vehicle '5FRtoDE.98' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19789.00.
Warning: Vehicle 'carIn32858:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19795.00.
Warning: Vehicle 'h56427c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19894.00.
Warning: Vehicle 'randUni18136:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19928.00.
Warning: Vehicle '5FRtoLU.113' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19984.00.
Warning: Vehicle 'carIn22363:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=19992.00.
Warning: Vehicle 'carIn41414:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20035.00.
Warning: Vehicle 'carIn18234:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20042.00.
Warning: Vehicle 'carIn41802:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20046.00.
Warning: Vehicle 'carIn32585:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20144.00.
Warning: Vehicle '5FRtoLU.131' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20185.00.
Warning: Vehicle 'carIn37399:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20192.00.
Warning: Vehicle 'carIn212:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20269.00.
Warning: Vehicle '5BEtoLU.128' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20312.00.
Warning: Vehicle '5BEtoLU.129' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20335.00.
Warning: Vehicle 'randUni1232:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20360.00.
Warning: Vehicle '5FRtoDE.127' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20373.00.
Warning: Vehicle 'carIn24027:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20377.00.
Warning: Vehicle '5BEtoLU.133' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20393.00.
Warning: Vehicle 'carIn7065:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20423.00.
Warning: Vehicle 'h57721c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20439.00.
Warning: Vehicle 'carIn28533:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20467.00.
Warning: Vehicle '5FRtoDE.138' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20528.00.
Warning: Vehicle 'carIn7965:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20589.00.
Warning: Vehicle 'carIn8996:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20619.00.
Warning: Vehicle 'randUni20769:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20632.00.
Warning: Vehicle '5BEtoLU.147' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20698.00.
Warning: Vehicle '5BEtoLU.149' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20707.00.
Warning: Vehicle 'carIn45759:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20723.00.
Warning: Vehicle 'carIn21876:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20728.00.
Warning: Vehicle '5FRtoLU.166' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20756.00.
Warning: Vehicle 'h45074c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20763.00.
Warning: Vehicle '5FRtoDE.162' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20814.00.
Warning: Vehicle 'h40514c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20822.00.
Warning: Vehicle 'carIn12380:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20829.00.
Warning: Vehicle 'carIn16516:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20852.00.
Warning: Vehicle '5BEtoLU.161' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20868.00.
Warning: Vehicle '5BEtoLU.162' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20879.00.
Warning: Vehicle 'h61248c1:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20898.00.
Warning: Vehicle 'randUni9522:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=20899.00.
